Organisation Name,Purchase_Order_Number,Order_Date,Total_Value,Supplier_Name,Account_Name,Service
Rochdale Borough Council,x1015424,26/03/2018,"£18,000.00 ",CARITAS CARE LTD,ADOPTION PAYMENTS,CHILDRENíS SOCIAL CARE
Rochdale Borough Council,x1015425,26/03/2018,"£15,008.00 ",YOUTH JUSTICE BOARD,SERVICE LEVEL AGREEMENTS,CHILDRENíS SOCIAL CARE
Rochdale Borough Council,d1075056,27/03/2018,"£43,290.85 ",RESTORE DOCUMENT MANAGEMENT,DATA COLLECTION,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000095,27/03/2018,"£12,830.60 ",GRAITEC LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3000074,27/03/2018,"£41,127.63 ",ELECTRICITY NORTH WEST LTD,REPAIRS & ALTS OF BUILDINGS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,x1015437,27/03/2018,"£5,772.82 ",BOLTON MBC,MARKETING EXPENDITURE,CHILDRENíS SOCIAL CARE
Rochdale Borough Council,d1075073,28/03/2018,"£44,974.92 ",ROCHDALE HOUSING INITIATIVE,CONDITION SURVEYS,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075092,28/03/2018,"£27,727.00 ",SSI SCHAEFER LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000099,28/03/2018,"£14,898.02 ",XN LEISURE SYSTEMS LTD,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d2000101,28/03/2018,"£16,578.85 ",YOTTA LIMITED,SOFTWARE,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d3000077,28/03/2018,"£37,960.59 ",C E S LTD,MINOR BUILDING WORKS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3000083,28/03/2018,"£25,293.49 ",ELECTRICITY NORTH WEST LTD,REPAIRS & ALTS OF BUILDINGS,PROPERTY AND HIGHWAYS
Rochdale Borough Council,d3000084,28/03/2018,"£82,383.28 ",OLDHAM COUNCIL,CONSULTANT FEES,PROPERTY AND HIGHWAYS
Rochdale Borough Council,e1025642,28/03/2018,"£142,843.55 ",INSPIREDSPACES ROCHDALE LTD,NEW CONSTRUCTION,EARLY HELP AND SCHOOLS
Rochdale Borough Council,f1006391,28/03/2018,"£1,866,947.00 ",GMCA,AGMA,FINANCE CONTROL
Rochdale Borough Council,s1022844,28/03/2018,"£6,500.00 ",ROYAL VOLUNTARY SERVICE,SERVICE LEVEL AGREEMENTS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,s1022846,28/03/2018,"£15,000.00 ",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,x1015438,28/03/2018,"£7,000.00 ",SUPPLY DESK,INDEPENDENT UNITS,EARLY HELP AND SCHOOLS
Rochdale Borough Council,d1075107,29/03/2018,"£15,757.00 ",GTM ELECTRICAL SERVICES LIMITED,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,d1075108,29/03/2018,"£6,168.00 ",THE FOUNTAIN COMPANY LTD,EQUIPMENT - GENERAL,NEIGHBOURHOODS AND ENVIRONMENT
Rochdale Borough Council,f1006402,29/03/2018,"£803,994.24 ",GMCA,AGMA,FINANCE CONTROL
Rochdale Borough Council,f1006404,29/03/2018,"£1,866,947.00 ",MANCHESTER CITY COUNCIL,AGMA,FINANCE CONTROL
Rochdale Borough Council,ph102656,29/03/2018,"£5,586.24 ",LIFE FITNESS UK LIMITED,PURCHASE OF FURNITURE AND EQUIPMENT,PUBLIC HEALTH
Rochdale Borough Council,s1022849,29/03/2018,"£10,000.00 ",UPS BUILDING AND MAINTENANCE LTD,MINOR BUILDING WORKS,PHYSICAL DIS & OLDER PEOPLE
Rochdale Borough Council,x1015450,29/03/2018,"£18,058.41 ",WIGAN BOROUGH COUNCIL,OTHER LOCAL AUTHORITIES,CHILDRENíS SOCIAL CARE
